gid,monitoring_started,monitoring_ended,longitude,latitude,district,name,ms_id,svp (manual),svp (auto),validity,area
92,2020-04-19,2020-10-19,11.8292023,44.84521,FE,FE29,6.0,5.0,1.00641932325101,valid,BO-FE
348,2021-02-22,2021-10-25,12.016743,44.251545,FC,FC01,9.0,12.0,4.26504188880427,valid,FC-RA-RN
371,2021-02-22,2021-10-25,12.2677576,44.1688282,FC,FC24,9.0,15.0,6.96877380045697,valid,FC-RA-RN
650,2021-02-22,2021-10-25,9.784816,45.030679,PC,PC01,9.0,15.0,1.84056867225184,valid,OTHER
332,2021-02-22,2021-10-25,11.788217,44.822089,FE,FE35,9.0,8.0,1.76440720995176,valid,BO-FE
468,2021-02-22,2021-10-25,11.91683,44.349642,RA,RA21,9.0,5.0,6.6006600660066,valid,FC-RA-RN
484,2021-02-22,2021-10-25,11.993472,44.3855,RA,RA37,9.0,3.0,0.0507743082000508,valid,FC-RA-RN
404,2021-02-22,2021-10-25,10.9790928,44.5804986,MO,MO07,9.0,30.0,3.45265295760345,valid,MO-RE
111,2020-04-19,2020-10-19,12.0431105,44.3932302,RA,FC08,6.0,5.0,3.05189859645305,valid,FC-RA-RN
206,2020-04-19,2020-10-19,11.8774436,44.3101502,RA,RA23,6.0,3.0,0.821455771950822,valid,FC-RA-RN
485,2021-02-22,2021-10-25,11.9894679,44.3801097,RA,RA38,9.0,15.0,6.66412795125666,valid,FC-RA-RN
364,2021-02-22,2021-10-25,12.05723,44.252617,FC,FC17,9.0,10.0,1.18050266565118,valid,FC-RA-RN
86,2020-04-19,2020-10-19,11.827048,44.8323731,FE,FE23,6.0,10.0,1.4960287237515,valid,BO-FE
360,2021-02-22,2021-10-25,12.0200679,44.4855879,RA,FC13,9.0,10.0,11.4749936532115,valid,FC-RA-RN
91,2020-04-19,2020-10-19,11.6286317,44.7301027,FE,FE28,6.0,10.0,5.85355238820585,valid,BO-FE
70,2020-04-19,2020-10-19,12.0064286,44.9033685,FE,FE07,6.0,12.0,4.75465128930475,valid,BO-FE
199,2020-04-19,2020-10-19,11.964547,44.3216077,RA,RA16,6.0,15.0,4.86889348275487,valid,FC-RA-RN
433,2021-02-22,2021-10-25,11.030522,44.710548,MO,MO36,9.0,30.0,10.2564102564103,valid,MO-RE
303,2021-02-22,2021-10-25,11.6546345,44.8588477,FE,FE06,9.0,10.0,7.8954049251079,valid,BO-FE
365,2021-02-22,2021-10-25,12.057855,44.252381,FC,FC18,9.0,10.0,3.05915206905306,valid,FC-RA-RN
327,2021-02-22,2021-10-25,11.7053542,44.7355318,FE,FE30,9.0,4.0,2.08174663620208,valid,BO-FE
105,2020-04-19,2020-10-19,12.148,44.1649,FC,FC02,6.0,,3.48710695245349,valid,FC-RA-RN
152,2020-04-19,2020-10-19,11.1095953,44.8719211,MO,MO09,6.0,15.0,5.48906539005549,valid,MO-RE
469,2021-02-22,2021-10-25,11.8967564,44.3314097,RA,RA22,9.0,8.0,4.04925107895405,valid,FC-RA-RN
475,2021-02-22,2021-10-25,11.951,44.3183367,RA,RA28,9.0,15.0,8.42853516120843,valid,FC-RA-RN
401,2021-02-22,2021-10-25,11.0281686,44.6307747,MO,MO04,9.0,6.0,0.736227468900736,valid,MO-RE
462,2021-02-22,2021-10-25,11.9368473,44.2760729,RA,RA15,9.0,0.0,0.0,valid,FC-RA-RN
301,2021-02-22,2021-10-25,11.5270873,44.8804115,FE,FE04,9.0,2.0,0.0,noisy,BO-FE
461,2021-02-22,2021-10-25,12.03882,44.43143,RA,RA14,9.0,30.0,18.4945417618685,valid,FC-RA-RN
415,2021-02-22,2021-10-25,10.8973211,44.5769359,MO,MO18,9.0,3.0,1.28205128205128,valid,MO-RE
425,2021-02-22,2021-10-25,10.8137980476122,44.7153497720554,RE,MO28,9.0,5.0,0.977405432850977,valid,MO-RE
220,2020-04-19,2020-10-19,11.9934642,44.3855126,RA,RA37,6.0,3.0,0.0326406267000326,valid,FC-RA-RN
482,2021-02-22,2021-10-25,12.001069,44.393725,RA,RA35,9.0,6.0,2.03097232800203,valid,FC-RA-RN
259,2021-02-22,2021-10-25,11.409836,44.759144,BO,BO12,9.0,7.0,1.12972835745113,valid,BO-FE
298,2021-02-22,2021-10-25,11.7591248,44.8808093,FE,FE01,9.0,2.0,1.06626047220107,noisy,BO-FE
429,2021-02-22,2021-10-25,10.7605130318652,44.7697764868334,RE,MO32,9.0,20.0,9.53287636455953,valid,MO-RE
432,2021-02-22,2021-10-25,10.8702457460139,44.8826401022529,RE,MO35,9.0,16.0,2.23406956080223,valid,MO-RE
423,2021-02-22,2021-10-25,10.849486263479,44.9008314405055,RE,MO26,9.0,16.0,2.08174663620208,valid,MO-RE
112,2020-04-19,2020-10-19,12.0242263,44.3544632,RA,FC09,6.0,5.0,0.255684909150256,valid,FC-RA-RN
254,2021-02-22,2021-10-25,11.7555065,44.3364715,BO,BO07,9.0,12.0,8.42853516120843,valid,FC-RA-RN
431,2021-02-22,2021-10-25,10.7930617544453,44.859014276832,RE,MO34,9.0,2.0,2.89413556740289,valid,MO-RE
201,2020-04-19,2020-10-19,12.0160675,44.3958368,RA,RA18,6.0,30.0,16.984006092917,valid,FC-RA-RN
176,2020-04-19,2020-10-19,10.7782976,44.7868739,RE,MO33,6.0,24.0,4.0963986508541,valid,MO-RE
87,2020-04-19,2020-10-19,11.7898472,44.8232467,FE,FE24,6.0,12.0,9.51474268305951,valid,BO-FE
169,2020-04-19,2020-10-19,10.8495501,44.9006889,RE,MO26,6.0,16.0,1.83331519965183,valid,MO-RE
476,2021-02-22,2021-10-25,12.02254,44.3329967,RA,RA29,9.0,5.0,0.0634678852500635,valid,FC-RA-RN
107,2020-04-19,2020-10-19,12.1232218,44.201005,FC,FC04,6.0,18.0,4.15623979980416,valid,FC-RA-RN
493,2021-02-22,2021-10-25,11.981098,44.273822,RA,RA46,9.0,1.0,0.241177963950241,valid,FC-RA-RN
472,2021-02-22,2021-10-25,11.9808009546362,44.2759614391665,RA,RA25,9.0,0.0,0.126935770500127,valid,FC-RA-RN
