answer_id,togo_id,text
BMSB.INST.Q3.A2,164,
BMSB.INST.Q5.A1,164,
BMSB.INST.Q6.A2,164,
BMSB.INST.Q7.A1,164,
BMSB.INST.Q8.A1,164,
BMSB.INST.Q9.A2,164,
BMSB.INST.Q11.A1,164,
BMSB.INST.Q12.A1,164,
BMSB.INST.Q12.A2,164,
BMSB.INST.Q13.A1,164,
BMSB.INST.Q14.A3,164,
BMSB.INST.Q1.A1,289,
BMSB.INST.Q2.A3,289,
BMSB.INST.Q3.A1,289,
BMSB.INST.Q4.A3,289,
BMSB.INST.Q4.A2,289,
BMSB.INST.Q5.A2,289,
BMSB.INST.Q7.A1,289,
BMSB.INST.Q8.A1,289,
BMSB.INST.Q9.A2,289,
BMSB.INST.Q11.A1,289,
BMSB.INST.Q12.A3,289,
BMSB.INST.Q12.A7,289,
BMSB.INST.Q13.A2,289,
BMSB.INST.Q1.A1,165,
BMSB.INST.Q2.A9,165,
BMSB.INST.Q3.A1,165,
BMSB.INST.Q4.A6,165,
BMSB.INST.Q5.A1,165,
BMSB.INST.Q6.A4,165,
BMSB.INST.Q7.A1,165,
BMSB.INST.Q8.A3,165,
BMSB.INST.Q9.A1,165,
BMSB.INST.Q10.A4,165,
BMSB.INST.Q11.A1,165,
BMSB.INST.Q12.A2,165,
BMSB.INST.Q13.A1,165,
BMSB.INST.Q14.A2,165,
BMSB.INST.Q1.A2,296,
BMSB.INST.Q3.A2,296,
BMSB.INST.Q5.A1,296,
BMSB.INST.Q6.A3,296,
BMSB.INST.Q7.A1,296,
BMSB.INST.Q8.A3,296,
BMSB.INST.Q9.A2,296,
BMSB.INST.Q11.A1,296,
BMSB.INST.Q12.A3,296,
BMSB.INST.Q12.A5,296,
BMSB.INST.Q12.A8,296,
BMSB.INST.Q12.A7,296,
BMSB.INST.Q13.A2,296,
BMSB.INST.Q1.A2,182,
BMSB.INST.Q3.A1,182,
BMSB.INST.Q4.A6,182,
BMSB.INST.Q5.A1,182,
BMSB.INST.Q6.A2,182,
BMSB.INST.Q7.A1,182,
BMSB.INST.Q8.A2,182,
BMSB.INST.Q9.A1,182,
BMSB.INST.Q10.A2,182,
BMSB.INST.Q10.A8,182,
BMSB.INST.Q11.A1,182,
BMSB.INST.Q12.A1,182,
BMSB.INST.Q12.A2,182,
BMSB.INST.Q13.A1,182,
BMSB.INST.Q14.A3,182,
BMSB.INST.Q1.A2,297,
BMSB.INST.Q3.A1,297,
BMSB.INST.Q4.A2,297,
BMSB.INST.Q5.A1,297,
BMSB.INST.Q6.A2,297,
BMSB.INST.Q7.A1,297,
BMSB.INST.Q8.A1,297,
BMSB.INST.Q9.A2,297,
BMSB.INST.Q11.A2,297,
BMSB.INST.Q13.A1,297,
BMSB.INST.Q14.A1,297,
BMSB.INST.Q1.A1,267,
BMSB.INST.Q2.A5,267,
BMSB.INST.Q2.A1,267,
BMSB.INST.Q3.A2,267,
BMSB.INST.Q5.A1,267,
BMSB.INST.Q6.A1,267,
BMSB.INST.Q7.A1,267,
BMSB.INST.Q8.A1,267,
BMSB.INST.Q9.A2,267,
BMSB.INST.Q11.A1,267,
BMSB.INST.Q12.A2,267,
BMSB.INST.Q12.A7,267,
BMSB.INST.Q13.A1,267,
BMSB.INST.Q14.A2,267,
BMSB.INST.Q14.A3,267,
BMSB.INST.Q1.A2,301,
BMSB.INST.Q3.A2,301,
BMSB.INST.Q5.A1,301,
BMSB.INST.Q6.A3,301,
BMSB.INST.Q7.A1,301,
BMSB.INST.Q8.A5,301,
BMSB.INST.Q9.A2,301,
BMSB.INST.Q11.A1,301,
BMSB.INST.Q12.A3,301,
BMSB.INST.Q12.A2,301,
BMSB.INST.Q12.A4,301,
BMSB.INST.Q12.A5,301,
BMSB.INST.Q12.A7,301,
BMSB.INST.Q13.A2,301,
BMSB.INST.Q1.A1,288,
BMSB.INST.Q2.A9,288,
BMSB.INST.Q3.A1,288,
BMSB.INST.Q4.A4,288,
BMSB.INST.Q5.A1,288,
BMSB.INST.Q6.A1,288,
BMSB.INST.Q7.A1,288,
BMSB.INST.Q8.A4,288,
BMSB.INST.Q9.A2,288,
BMSB.INST.Q11.A1,288,
BMSB.INST.Q12.A3,288,
BMSB.INST.Q12.A5,288,
BMSB.INST.Q12.A2,288,
BMSB.INST.Q13.A2,288,
BMSB.INST.Q1.A2,304,
BMSB.INST.Q3.A1,304,
BMSB.INST.Q4.A1,304,
