togo_id,timestamp_assignment,timestamp_end,timestamp_completed,task_id,gid
9803,2021-07-19 00:00:00.000,2021-07-25 23:59:59.000,2021-07-19 00:00:00.000,6,424
9799,2021-07-19 00:00:00.000,2021-07-25 23:59:59.000,2021-07-21 00:00:00.000,6,425
9776,2021-07-19 00:00:00.000,2021-07-25 23:59:59.000,2021-07-21 00:00:00.000,6,357
9774,2021-07-19 00:00:00.000,2021-07-25 23:59:59.000,2021-07-21 00:00:00.000,6,359
9773,2021-07-19 00:00:00.000,2021-07-25 23:59:59.000,2021-07-21 00:00:00.000,6,361
9787,2021-07-19 00:00:00.000,2021-07-25 23:59:59.000,2021-07-21 00:00:00.000,6,402
9778,2021-07-19 00:00:00.000,2021-07-25 23:59:59.000,2021-07-21 00:00:00.000,6,449
9783,2021-07-19 00:00:00.000,2021-07-25 23:59:59.000,2021-07-22 00:00:00.000,6,401
9808,2021-07-19 00:00:00.000,2021-07-25 23:59:59.000,2021-07-21 00:00:00.000,6,439
9807,2021-07-19 00:00:00.000,2021-07-25 23:59:59.000,2021-07-21 00:00:00.000,6,437
9810,2021-07-19 00:00:00.000,2021-07-25 23:59:59.000,2021-07-21 00:00:00.000,6,479
9811,2021-07-19 00:00:00.000,2021-07-25 23:59:59.000,2021-07-21 00:00:00.000,6,482
9814,2021-07-19 00:00:00.000,2021-07-25 23:59:59.000,2021-07-21 00:00:00.000,6,483
9738,2021-07-19 00:00:00.000,2021-07-25 23:59:59.000,2021-07-23 00:00:00.000,6,348
9813,2021-07-19 00:00:00.000,2021-07-25 23:59:59.000,2021-07-22 00:00:00.000,6,351
9752,2021-07-19 00:00:00.000,2021-07-25 23:59:59.000,2021-07-22 00:00:00.000,6,353
9769,2021-07-19 00:00:00.000,2021-07-25 23:59:59.000,2021-07-22 00:00:00.000,6,364
9777,2021-07-19 00:00:00.000,2021-07-25 23:59:59.000,2021-07-22 00:00:00.000,6,365
9772,2021-07-19 00:00:00.000,2021-07-25 23:59:59.000,2021-07-22 00:00:00.000,6,373
9737,2021-07-19 00:00:00.000,2021-07-25 23:59:59.000,2021-07-23 00:00:00.000,6,350
9775,2021-07-19 00:00:00.000,2021-07-25 23:59:59.000,2021-07-23 00:00:00.000,6,360
9726,2021-07-19 00:00:00.000,2021-07-25 23:59:59.000,2021-07-22 00:00:00.000,6,249
9723,2021-07-19 00:00:00.000,2021-07-25 23:59:59.000,2021-07-22 00:00:00.000,6,252
9724,2021-07-19 00:00:00.000,2021-07-25 23:59:59.000,2021-07-22 00:00:00.000,6,253
9735,2021-07-19 00:00:00.000,2021-07-25 23:59:59.000,2021-07-22 00:00:00.000,6,255
9727,2021-07-19 00:00:00.000,2021-07-25 23:59:59.000,2021-07-22 00:00:00.000,6,258
9730,2021-07-19 00:00:00.000,2021-07-25 23:59:59.000,2021-07-22 00:00:00.000,6,261
9729,2021-07-19 00:00:00.000,2021-07-25 23:59:59.000,2021-07-22 00:00:00.000,6,265
9734,2021-07-19 00:00:00.000,2021-07-25 23:59:59.000,2021-07-22 00:00:00.000,6,266
9779,2021-07-19 00:00:00.000,2021-07-25 23:59:59.000,2021-07-24 00:00:00.000,6,452
9780,2021-07-19 00:00:00.000,2021-07-25 23:59:59.000,2021-07-24 00:00:00.000,6,454
9771,2021-07-19 00:00:00.000,2021-07-25 23:59:59.000,2021-07-23 00:00:00.000,6,363
9732,2021-07-19 00:00:00.000,2021-07-25 23:59:59.000,2021-07-23 00:00:00.000,6,263
9733,2021-07-19 00:00:00.000,2021-07-25 23:59:59.000,2021-07-23 00:00:00.000,6,264
9755,2021-07-19 00:00:00.000,2021-07-25 23:59:59.000,2021-07-24 00:00:00.000,6,318
9743,2021-07-19 00:00:00.000,2021-07-25 23:59:59.000,2021-07-24 00:00:00.000,6,304
9768,2021-07-19 00:00:00.000,2021-07-25 23:59:59.000,2021-07-24 00:00:00.000,6,335
9747,2021-07-19 00:00:00.000,2021-07-25 23:59:59.000,2021-07-24 00:00:00.000,6,298
9765,2021-07-19 00:00:00.000,2021-07-25 23:59:59.000,2021-07-21 00:00:00.000,6,331
9748,2021-07-19 00:00:00.000,2021-07-25 23:59:59.000,2021-07-24 00:00:00.000,6,309
9749,2021-07-19 00:00:00.000,2021-07-25 23:59:59.000,2021-07-24 00:00:00.000,6,310
