gid,geometry,name,district,ms_id,monitoring_started,monitoring_ended
123,"""SRID=4326;POINT(12.0011308 44.253912)""",FC20,FC,6,2020-04-19,2020-10-19
220,"""SRID=4326;POINT(11.9934642 44.3855126)""",RA37,RA,6,2020-04-19,2020-10-19
221,"""SRID=4326;POINT(11.9901638 44.3809275)""",RA38,RA,6,2020-04-19,2020-10-19
222,"""SRID=4326;POINT(11.9723126 44.3831711)""",RA39,RA,6,2020-04-19,2020-10-19
198,"""SRID=4326;POINT(11.9368376 44.2760464)""",RA15,RA,6,2020-04-19,2020-10-19
176,"""SRID=4326;POINT(10.7782976 44.7868739)""",MO33,RE,6,2020-04-19,2020-10-19
151,"""SRID=4326;POINT(11.1583344 44.8604963)""",MO08,MO,6,2020-04-19,2020-10-19
223,"""SRID=4326;POINT(11.9256908 44.376757)""",RA40,RA,6,2020-04-19,2020-10-19
487,"""SRID=4326;POINT(11.9320288 44.3824501)""",RA40,RA,9,2021-02-22,2021-10-25
354,"""SRID=4326;POINT(12.3805762 44.1641651)""",FC07,FC,9,2021-02-22,2021-10-25
248,"""SRID=4326;POINT(11.5427417 44.6508673)""",BO01,BO,9,2021-02-22,2021-10-25
251,"""SRID=4326;POINT(11.3955411 44.7232868)""",BO04,BO,9,2021-02-22,2021-10-25
456,"""SRID=4326;POINT(11.8823729 44.4234434)""",RA09,RA,9,2021-02-22,2021-10-25
466,"""SRID=4326;POINT(12.0312014 44.4432292)""",RA19,RA,9,2021-02-22,2021-10-25
399,"""SRID=4326;POINT(10.8743731 44.7297694)""",MO02,MO,9,2021-02-22,2021-10-25
655,"""SRID=4326;POINT(11.9072888201479 44.3023487289723)""",RA01,RA,12,2022-03-21,2022-10-24
258,"""SRID=4326;POINT(11.599091 44.60942)""",BO11,BO,9,2021-02-22,2021-10-25
260,"""SRID=4326;POINT(11.4472226 44.6445253)""",BO13,BO,9,2021-02-22,2021-10-25
265,"""SRID=4326;POINT(11.735028 44.362764)""",BO18,BO,9,2021-02-22,2021-10-25
261,"""SRID=4326;POINT(11.365186 44.711489)""",BO14,BO,9,2021-02-22,2021-10-25
256,"""SRID=4326;POINT(11.648693 44.37309)""",BO09,BO,9,2021-02-22,2021-10-25
358,"""SRID=4326;POINT(12.0662778 44.413179)""",FC11,RA,9,2021-02-22,2021-10-25
403,"""SRID=4326;POINT(11.3307687 44.8403288)""",MO06,MO,9,2021-02-22,2021-10-25
407,"""SRID=4326;POINT(11.0678857 44.8315706)""",MO10,MO,9,2021-02-22,2021-10-25
259,"""SRID=4326;POINT(11.409836 44.759144)""",BO12,BO,9,2021-02-22,2021-10-25
267,"""SRID=4326;POINT(11.686861 44.372417)""",BO20,BO,9,2021-02-22,2021-10-25
268,"""SRID=4326;POINT(11.75175 44.436861)""",BO21,BO,9,2021-02-22,2021-10-25
320,"""SRID=4326;POINT(11.827048 44.8323731)""",FE23,FE,9,2021-02-22,2021-10-25
661,"""SRID=4326;POINT(11.8783651 44.5399568)""",RA07,RA,12,2022-03-21,2022-10-24
672,"""SRID=4326;POINT(12.0161779 44.3959103)""",RA18,RA,12,2022-03-21,2022-10-24
679,"""SRID=4326;POINT(11.9807420548753 44.2759995022885)""",RA25,RA,12,2022-03-21,2022-10-24
686,"""SRID=4326;POINT(11.851967 44.324096)""",RA32,RA,12,2022-03-21,2022-10-24
708,"""SRID=4326;POINT(11.8668484081801 44.2339532750005)""",RA54,RA,12,2022-03-21,2022-10-24
715,"""SRID=4326;POINT(11.8082863456884 44.3449061967277)""",RA61,RA,12,2022-03-21,2022-10-24
692,"""SRID=4326;POINT(11.990133 44.3812)""",RA38,RA,12,2022-03-21,2022-10-24
690,"""SRID=4326;POINT(11.989569 44.389646)""",RA36,RA,12,2022-03-21,2022-10-24
712,"""SRID=4326;POINT(11.9341323321528 44.2893596298125)""",RA58,RA,12,2022-03-21,2022-10-24
694,"""SRID=4326;POINT(11.926939 44.379196)""",RA40,RA,12,2022-03-21,2022-10-24
